category,canonical_keyword,original_keyword,id
"Social Inclusion, Gender & Human Development",indigenous knowledge,indigenous knowledge,3456
"Social Inclusion, Gender & Human Development",indigenous peoples,indigenous peoples,8555
"Social Inclusion, Gender & Human Development",indigenous rights,indigenous rights,165
"Social Inclusion, Gender & Human Development",inequalities,inequalities,750
"Social Inclusion, Gender & Human Development",integration,integration,175
"Social Inclusion, Gender & Human Development",leaky pipeline,leaky pipeline,4699
"Social Inclusion, Gender & Human Development",leave no one behind,leave no one behind,4449
"Social Inclusion, Gender & Human Development",people with disabilities,people with disabilities,203
"Social Inclusion, Gender & Human Development",poverty,Poverty,1734
"Social Inclusion, Gender & Human Development",reduced inequalities,reduced inequalities,233
"Social Inclusion, Gender & Human Development",reducing gender inequalities,reducing gender inequalities,835
"Social Inclusion, Gender & Human Development",social capital,social capital,250
"Social Inclusion, Gender & Human Development",social cohesion,social cohesion,251
"Social Inclusion, Gender & Human Development",social impact,social impact,252
"Social Inclusion, Gender & Human Development",social inclusion,social inclusion,4027
"Social Inclusion, Gender & Human Development",social justice,justice sociale,1627
"Social Inclusion, Gender & Human Development",social justice,social justice,834
"Social Inclusion, Gender & Human Development",social protection,social protection,253
"Social Inclusion, Gender & Human Development",the vulnerable members of our society,the vulnerable members of our society,270
"Social Inclusion, Gender & Human Development",traditional knowledge,traditional knowledge,273
"Social Inclusion, Gender & Human Development",vulnerable groups,vulnerable groups,290
"Social Inclusion, Gender & Human Development",women empowerment,woman empowerment,298
"Social Inclusion, Gender & Human Development",women empowerment,women empowerment,300
"Social Inclusion, Gender & Human Development",women empowerment,womenempowerment,5559
"Social Inclusion, Gender & Human Development",women in crises,women in crises,301
"Social Inclusion, Gender & Human Development",women participation,women participation,302
"Social Inclusion, Gender & Human Development",women-led solution,women-led solution,4144
"Social Inclusion, Gender & Human Development",youth,youth,303
"Social Inclusion, Gender & Human Development",youth empowerment,youth empowerment,305
"Social Inclusion, Gender & Human Development",youth informality,youth informality,306
"Technology, Data & Digital",3d printing,3d printing,1193
"Technology, Data & Digital",access to technology & internet,access to technology & internet,5
"Technology, Data & Digital",ai ethics,ai ethics,6744
"Technology, Data & Digital",ai systems,ai systems,4716
"Technology, Data & Digital",ai-powered solution,AI-Powered Solution,10646
"Technology, Data & Digital",alternative data source,alternative data source,1897
"Technology, Data & Digital",appropiate technology,appropiate technology,3138
"Technology, Data & Digital",appropriate technology,appropriate technology,4339
"Technology, Data & Digital",artificial intelligence,AI,10858
"Technology, Data & Digital",artificial intelligence,artificial intelligence,22
"Technology, Data & Digital",augmented reality,augmented reality,4025
"Technology, Data & Digital",automated systems,automated systems,10869
"Technology, Data & Digital",big data,big data,893
"Technology, Data & Digital",big data analysis,big data analysis,27
"Technology, Data & Digital",big data analysisr decision-making system,Big data analysis\r Decision-making system,10702
"Technology, Data & Digital",blockchain,block chain,33
"Technology, Data & Digital",conectivity,conectivity,1223
"Technology, Data & Digital",connectivity,connectivity,6363
"Technology, Data & Digital",data,data,74
"Technology, Data & Digital",data analysis,data analysis,4145
"Technology, Data & Digital",data analytics,Data Analytics,10636
"Technology, Data & Digital",data collection,data collection,1592
"Technology, Data & Digital",data science,data science,75
"Technology, Data & Digital",data visualization,Data Visualization,10638
"Technology, Data & Digital",data-scraping,data-scraping,76
"Technology, Data & Digital",digital,digital,79
"Technology, Data & Digital",digital access,digital access,4209
"Technology, Data & Digital",digital administration,digital administration,742
"Technology, Data & Digital",digital bridges,digital bridges,746
"Technology, Data & Digital",digital community,digital community,2894
"Technology, Data & Digital",digital dashboard,digital dashboard,80
"Technology, Data & Digital",digital data collection,digital data collection,755
"Technology, Data & Digital",digital divide,digital divide,4711
"Technology, Data & Digital",digital equity,digital equity,737
"Technology, Data & Digital",digital finance,digital finance,10540
"Technology, Data & Digital",digital forms sharing information,digital forms sharing information,3670
"Technology, Data & Digital",digital gap,digital gap,82
"Technology, Data & Digital",digital literacy,digital literacy,84
"Technology, Data & Digital",digital management system,digital management system,85
"Technology, Data & Digital",digital marketing,digital marketing,4100
"Technology, Data & Digital",digital nomads,digital nomads,1113
"Technology, Data & Digital",digital participation,digital participation,2556
"Technology, Data & Digital",digital payments,digital payments,4261
"Technology, Data & Digital",digital platform,digital platform,86
"Technology, Data & Digital",digital products,digital products,761
"Technology, Data & Digital",digital public good,digital public good,87
"Technology, Data & Digital",digital service,digital service,2557
"Technology, Data & Digital",digital services,digital services,2607
"Technology, Data & Digital",digital services; digital commerce,digital services. digital comerece,4033
"Technology, Data & Digital",digital solution,digital solution,2414
"Technology, Data & Digital",digital solutions,digital solutions,89
"Technology, Data & Digital",digital tools,digital tools,756
"Technology, Data & Digital",digital transformation,digital transformation,90
"Technology, Data & Digital",digitalization,digitalization,92
"Technology, Data & Digital",disinformation,disinformation,10548
"Technology, Data & Digital",dispositivos,dispositivos,1312
"Technology, Data & Digital",drones,drones,4004
"Technology, Data & Digital",e-services,e-service,2698
"Technology, Data & Digital",e-services,e-services,99
"Technology, Data & Digital",emerging technologies,emerging technologies,4023
"Technology, Data & Digital",fake news,fake news,122
"Technology, Data & Digital",false information,false information,5549
"Technology, Data & Digital",fintech,fin-tech,123
"Technology, Data & Digital",fintech,fintech,126
"Technology, Data & Digital",geospatial,geospatial,748
"Technology, Data & Digital",gis,gis,4113
"Technology, Data & Digital",green technology,green technology,151
"Technology, Data & Digital",innovating technology,Innovating Technology,6151
"Technology, Data & Digital",iot,iot,1370
"Technology, Data & Digital",it,it,6743
"Technology, Data & Digital",it challenge,IT Challange,999
"Technology, Data & Digital",lack of open data,lack of open data,751
"Technology, Data & Digital",media,media,1989
"Technology, Data & Digital",media literacy,media literacy,19688
"Technology, Data & Digital",misinformation,misinformation,5550
"Technology, Data & Digital",misinformation,missinformation,19689
"Technology, Data & Digital",non-profit to profit,non-profit to profit,19555
"Technology, Data & Digital",open data,open data,194
"Technology, Data & Digital",open-source technology,open-source technology,5551
"Technology, Data & Digital",remote sensing,remote sensing,10554
"Technology, Data & Digital",satellite images,satellite images,4046
"Technology, Data & Digital",technology,technologie,1361
"Technology, Data & Digital",technology,technology,266
"Technology, Data & Digital",technology,techonology,267
"Technology, Data & Digital",technology and innovation,Technology and innovation,5033
"Technology, Data & Digital",technology and knowledge transfer,technology and knowledge transfer,10498
"Technology, Data & Digital",transfer of knowledge and technology,transfer of knowledge and technology,275
"Technology, Data & Digital",virtual reality,virtual reality,287
Transportation & Mobility,human mobility,human mobility,4055
Transportation & Mobility,logistics,logistics,846
Transportation & Mobility,road traffic safety,road traffic safety,240
Transportation & Mobility,transportation,transportation,850
Transportation & Mobility,transportation & mobility,transportation & mobility,278
UNDP / Institutional,accelerator lab,accelerator lab,3997
UNDP / Institutional,institutional capacity,institutional capacity,739
UNDP / Institutional,institutional reform,institutional reform,174
UNDP / Institutional,private_sector,private_sector,3846
UNDP / Institutional,undp,UNDP,3845
UNDP / Institutional,undp high impact projects,undp high impact projects,281
Urban Development & Infrastructure,affordable housing,affordable housing,11
Urban Development & Infrastructure,ai urbanist,ai urbanist,10501
Urban Development & Infrastructure,city,city,1576
Urban Development & Infrastructure,clean cities,clean cities,48
Urban Development & Infrastructure,depopulation,depopulation,78
Urban Development & Infrastructure,green city,Green city,7195
Urban Development & Infrastructure,green infrastructure,Green infrastructure,5608
Urban Development & Infrastructure,green infrastructure,green infraestructure,150
Urban Development & Infrastructure,green spaces,Green spaces,7055
Urban Development & Infrastructure,improve data tools of the city,Improve data tools of the city,5969
Urban Development & Infrastructure,infrastructure,infrastructure,1305
Urban Development & Infrastructure,innovation and infrastructure,Innovation and Infrastructure,5579
Urban Development & Infrastructure,public amenities,public amenities,218
Urban Development & Infrastructure,public space,public space,224
Urban Development & Infrastructure,public spaces,public spaces,225
Urban Development & Infrastructure,recovery and city revitalization,recovery and city revitalization,4723
Urban Development & Infrastructure,smart cities,Smart Cities,6256
Urban Development & Infrastructure,smart city,Smart City,7196
Urban Development & Infrastructure,sustainable cities and communities,Sustainable Cities and Communities,5564
Urban Development & Infrastructure,sustainable urbanisation,sustainable urbanisation,263
Urban Development & Infrastructure,urban air quality,Urban air quality,6994
Urban Development & Infrastructure,urban development,urban development,283
Urban Development & Infrastructure,urban green infrastructure,Urban Green Infrastructure,6870
Urban Development & Infrastructure,urban green spaces,Urban Green Spaces,6943
Urban Development & Infrastructure,urban greening,Urban Greening,6749
Urban Development & Infrastructure,urban innovation,Urban Innovation,6883
Urban Development & Infrastructure,urban sustainability,Urban Sustainability,6860
Urban Development & Infrastructure,urbanization,urbanization,284
Waste & Circular Economy,agricultural waste,agricultural waste,1424
Waste & Circular Economy,bio-waste,bio-waste,28
Waste & Circular Economy,biodegradable,biodegradable,29
Waste & Circular Economy,cardboard waste,cardboard waste,2903
Waste & Circular Economy,circular,circular,39
Waste & Circular Economy,circular business model,circular business model,1450
Waste & Circular Economy,circular economy,circular econom,19641
Waste & Circular Economy,circular economy,circular economy,40
Waste & Circular Economy,circular economy,economía circular,104
Waste & Circular Economy,"circular economy, techonology","circular economy, techonology",41
Waste & Circular Economy,circular migration,circular migration,42
Waste & Circular Economy,diaper waste,diaper waste,19591
Waste & Circular Economy,eco bags,eco bags,2417
Waste & Circular Economy,eco packaging,eco packaging,2416
Waste & Circular Economy,food waste,food waste,133
Waste & Circular Economy,food waste management,food waste management,134
Waste & Circular Economy,infectious waste,infectious waste,4718
Waste & Circular Economy,litter,litter,8558
Waste & Circular Economy,metal,metal,184
Waste & Circular Economy,municipality waste,municipality waste,4719
Waste & Circular Economy,plastic,plastic,206
Waste & Circular Economy,plastic alternative,plastic alternative,207
Waste & Circular Economy,plastic and pollution,plastic and pollution,208
Waste & Circular Economy,plastic waste management,plastic waste management,209
Waste & Circular Economy,re-use,re-use,852
Waste & Circular Economy,recycle waste plastic,recycle waste plastic,231
Waste & Circular Economy,recycling,recycling,232
Waste & Circular Economy,responsible consumption & production,responsible consumption & production,239
Waste & Circular Economy,reuse,reuse,1116
Waste & Circular Economy,sanitary waste,sanitary waste,245
Waste & Circular Economy,single use plastic,single use plastic,248
Waste & Circular Economy,solid waste management,solid waste management,256
Waste & Circular Economy,sustainable consumption and production,Sustainable Consumption and Production,5718
Waste & Circular Economy,textile recycling,textile recycling,269
Waste & Circular Economy,waste collection,waste collection,2899
Waste & Circular Economy,waste for livelihoods,waste for livelihoods,291
Waste & Circular Economy,waste identification,waste identification,4311
Waste & Circular Economy,waste management,waste management,292
Waste & Circular Economy,waste reduction,waste reduction,293
Waste & Circular Economy,waste separation,waste separation,294
Waste & Circular Economy,waste system,waste system,3981
Waste & Circular Economy,waste upcycling,waste upcycling,4335
Waste & Circular Economy,zero waste,zero waste,307
Water & WASH,hygiene,hygiene,157
Water & WASH,innovative technology to capture water,Innovative technology to capture water,6253
Water & WASH,reduced waste water,reduced waste water,1701
Water & WASH,sanitation,sanitation,246
Water & WASH,waste water management,waste water management,1003
Water & WASH,water,agua,1205
Water & WASH,water,water,295
Water & WASH,water harvesting,water harvesting,4616
Water & WASH,water management,water management,297
Water & WASH,water protection,water protection,1431
Water & WASH,water quality,water quality,6352
Water & WASH,water scarcity,water scarcity,4498
Water & WASH,"water, sanitation and hygiene (WASH)",wash,1182
